"course_id","skill_id","categories"
"1","11546","[""learning_outcomes"", ""objectives""]"
"1","11872","[""course_content"", ""description"", ""learning_outcomes"", ""objectives""]"
"1","12196","[""course_content""]"
"1","12615","[""course_content"", ""learning_outcomes"", ""objectives""]"
"1","14788","[""description""]"
"1","16920","[""description""]"
"1","18939","[""description""]"
"2","11076","[""description""]"
"2","14370","[""learning_outcomes""]"
"3","11641","[""lesson_name""]"
"5","10904","[""description""]"
"5","11077","[""prerequisites""]"
"5","11699","[""prerequisites""]"
"6","10891","[""course_content""]"
"6","10904","[""description""]"
"7","10868","[""description""]"
"7","11087","[""course_content""]"
"8","10868","[""description"", ""educational_material"", ""objectives""]"
"8","11381","[""objectives""]"
"8","11412","[""educational_material""]"
"8","11645","[""educational_material""]"
"8","13104","[""description""]"
"9","10921","[""description"", ""educational_material"", ""lesson_name""]"
"9","11009","[""course_content""]"
"9","11453","[""description""]"
"9","12872","[""learning_outcomes""]"
"9","15729","[""course_content""]"
"9","16255","[""course_content""]"
"10","11059","[""course_content""]"
"10","11061","[""educational_material""]"
"10","11136","[""lesson_name""]"
"11","10949","[""course_content""]"
"11","11265","[""course_content""]"
"11","14129","[""course_content""]"
"12","10901","[""educational_material""]"
"12","11485","[""description""]"
"13","10892","[""course_content""]"
"13","10970","[""prerequisites""]"
"13","10996","[""prerequisites""]"
"13","10997","[""description"", ""educational_material"", ""learning_outcomes""]"
"13","11006","[""course_content""]"
"13","11128","[""course_content""]"
"13","11350","[""educational_material""]"
"13","11458","[""course_content""]"
"13","11553","[""course_content""]"
"14","11006","[""lesson_name""]"
"14","11350","[""description""]"
"14","11515","[""description""]"
"15","10885","[""prerequisites""]"
"15","10926","[""educational_material""]"
"15","10928","[""description""]"
"15","10965","[""extras"", ""lesson_name""]"
"15","10967","[""description""]"
"15","11061","[""description""]"
"15","11283","[""learning_outcomes"", ""objectives""]"
"15","11412","[""description""]"
"15","19106","[""description""]"
"16","13264","[""course_content""]"
"16","16209","[""assessment""]"
"16","19107","[""description""]"
"16","19115","[""objectives""]"
"17","11197","[""course_content"", ""description""]"
"17","12195","[""objectives""]"
"18","10997","[""educational_material""]"
"19","12503","[""description""]"
"20","11077","[""educational_material""]"
"20","11112","[""educational_material""]"
"20","12535","[""description""]"
"20","19106","[""learning_outcomes""]"
"21","10872","[""course_content"", ""objectives""]"
"21","10996","[""course_content""]"
"21","11077","[""course_content""]"
"21","11425","[""course_content""]"
"21","11488","[""course_content""]"
"21","11885","[""course_content""]"
"21","19172","[""course_content""]"
"22","10872","[""description""]"
"22","11350","[""educational_material""]"
"22","19172","[""description""]"
"24","10868","[""exam""]"
"24","10959","[""description""]"
"24","11136","[""description""]"
"24","11165","[""exam""]"
"24","11941","[""course_content""]"
"24","12065","[""course_content""]"
"25","10868","[""educational_material""]"
"25","10891","[""course_content""]"
"25","10901","[""educational_material""]"
"25","10904","[""description""]"
"25","11197","[""description""]"
"25","12230","[""objectives""]"
"26","10868","[""description"", ""lesson_name""]"
"26","11588","[""description""]"
"26","11941","[""lesson_name""]"
"26","12698","[""course_content""]"
"26","19209","[""description""]"
"27","10891","[""description""]"
"27","11197","[""description""]"
"28","10898","[""course_content""]"
"28","10904","[""educational_material""]"
"28","10967","[""description""]"
"28","11077","[""prerequisites""]"
"28","11112","[""educational_material""]"
"28","12284","[""lesson_name""]"
"29","10959","[""course_content"", ""educational_material""]"
"29","10964","[""learning_outcomes""]"
"29","11087","[""educational_material""]"
"30","10959","[""description"", ""learning_outcomes""]"
"30","10964","[""course_content"", ""educational_material"", ""learning_outcomes"", ""lesson_name"", ""prerequisites""]"
"30","10982","[""description""]"
"30","11095","[""prerequisites""]"
"30","11215","[""course_content""]"
"30","11365","[""course_content""]"
"31","10868","[""description"", ""lesson_name"", ""objectives""]"
"31","12698","[""educational_material""]"
"32","10958","[""objectives""]"
"32","11283","[""objectives""]"
"32","11381","[""course_content""]"
"32","12059","[""description""]"
"32","12803","[""objectives""]"
"32","19439","[""course_content""]"
"33","10948","[""description""]"
"33","10967","[""course_content""]"
"33","18636","[""course_content""]"
"34","10868","[""description""]"
"34","10900","[""description""]"
"34","10921","[""lesson_name""]"
"34","11156","[""description""]"
"35","10913","[""description""]"
"35","11007","[""description""]"
"35","11102","[""description""]"
"35","11412","[""description""]"
"35","13701","[""description""]"
"35","18874","[""description""]"
"36","10872","[""course_content"", ""lesson_name""]"
"36","10904","[""course_content""]"
"36","11365","[""course_content""]"
"39","10975","[""description""]"
"40","10948","[""description""]"
"40","10967","[""course_content""]"
"40","18636","[""course_content""]"
"41","10868","[""description"", ""lesson_name"", ""objectives""]"
"42","10948","[""description""]"
"42","11197","[""description""]"
"42","16820","[""description""]"
"43","10872","[""course_content""]"
"43","10967","[""course_content""]"
"43","11284","[""course_content""]"
"43","11885","[""description""]"
"43","11911","[""course_content""]"
"43","17565","[""course_content""]"
"44","10965","[""objectives""]"
"44","11163","[""lesson_name""]"
"44","11654","[""objectives""]"
"44","11862","[""objectives""]"
"44","13651","[""objectives""]"
"45","10921","[""lesson_name""]"
"45","11156","[""course_content""]"
"45","11564","[""course_content""]"
"46","10889","[""description"", ""lesson_name""]"
"46","10900","[""objectives""]"
"47","10913","[""description""]"
"47","10965","[""course_content""]"
"47","11095","[""description""]"
"47","11102","[""description"", ""objectives""]"
"47","11108","[""course_content""]"
"47","11273","[""course_content""]"
"47","18907","[""description""]"
"48","10877","[""objectives""]"
"48","10953","[""objectives""]"
"48","18926","[""description""]"
"49","11171","[""objectives""]"
"50","10872","[""course_content"", ""lesson_name""]"
"50","10904","[""course_content""]"
"50","11102","[""prerequisites""]"
"50","11365","[""course_content""]"
"51","10863","[""course_content"", ""description""]"
"51","12338","[""lesson_name"", ""objectives""]"
"51","14871","[""course_content""]"
"53","18777","[""description""]"
"55","10965","[""description""]"
"55","11099","[""description""]"
"57","10868","[""description""]"
"57","11645","[""description""]"
"57","13522","[""course_content"", ""description"", ""objectives""]"
"59","10921","[""description""]"
"59","12691","[""learning_outcomes""]"
"59","16499","[""description""]"
"59","18882","[""learning_outcomes""]"
"60","10921","[""lesson_name""]"
"60","11087","[""description""]"
"60","14078","[""course_content""]"
"61","10868","[""description""]"
"61","10921","[""course_content""]"
"61","10923","[""course_content""]"
"61","11115","[""course_content""]"
"61","11215","[""course_content""]"
"61","11284","[""course_content""]"
"61","11329","[""lesson_name""]"
"61","11602","[""course_content""]"
"61","12033","[""course_content""]"
"61","13376","[""course_content""]"
"61","16909","[""description""]"
"61","16914","[""course_content""]"
"61","18971","[""course_content""]"
"64","10865","[""learning_outcomes""]"
"64","10921","[""description""]"
"64","10967","[""learning_outcomes""]"
"64","10975","[""learning_outcomes""]"
"64","11197","[""description""]"
"64","11387","[""description""]"
"64","14901","[""description""]"
"65","10885","[""lesson_name""]"
"65","10921","[""description""]"
"65","10926","[""course_content"", ""learning_outcomes"", ""objectives""]"
"65","11019","[""objectives""]"
"65","11108","[""objectives""]"
"65","11122","[""course_content""]"
"65","11230","[""course_content""]"
"65","11302","[""course_content"", ""learning_outcomes"", ""objectives""]"
"65","16779","[""course_content"", ""learning_outcomes""]"
"66","10900","[""objectives""]"
"66","10941","[""description""]"
"66","11156","[""objectives""]"
"67","10962","[""lesson_name""]"
"68","10885","[""description""]"
"68","11008","[""description""]"
"68","11087","[""description""]"
"68","11108","[""lesson_name""]"
"68","14521","[""objectives""]"
"69","10872","[""description"", ""objectives""]"
"69","10948","[""lesson_name""]"
"69","11056","[""description""]"
"69","11077","[""objectives""]"
"69","11087","[""course_content""]"
"69","11123","[""course_content""]"
"69","11144","[""description""]"
"69","11307","[""course_content""]"
"69","11488","[""course_content""]"
"69","11791","[""course_content""]"
"69","11885","[""course_content""]"
"69","12230","[""course_content""]"
"69","16127","[""course_content""]"
"70","11087","[""course_content""]"
"70","11136","[""description""]"
"70","11277","[""course_content""]"
"71","10970","[""description"", ""lesson_name""]"
"71","10992","[""objectives""]"
"71","11102","[""course_content""]"
"71","16135","[""course_content""]"
"72","10872","[""course_content"", ""objectives""]"
"72","11087","[""course_content""]"
"72","11791","[""description"", ""prerequisites""]"
"73","10872","[""description""]"
"73","10877","[""description""]"
"73","10902","[""objectives""]"
"73","10908","[""description"", ""objectives""]"
"73","10928","[""objectives""]"
"73","10932","[""objectives""]"
"73","10967","[""objectives""]"
"73","10975","[""description""]"
"73","11435","[""description"", ""educational_material"", ""lesson_name""]"
"73","12016","[""description"", ""educational_material"", ""objectives""]"
"73","12190","[""objectives""]"
"73","16128","[""description""]"
"74","10889","[""prerequisites""]"
"74","10970","[""prerequisites""]"
"74","10997","[""description"", ""lesson_name""]"
"74","11042","[""description""]"
"75","10997","[""educational_material""]"
"75","11163","[""lesson_name""]"
"76","10889","[""course_content"", ""objectives""]"
"76","10904","[""course_content""]"
"76","10921","[""description"", ""educational_material"", ""lesson_name""]"
"76","10967","[""course_content""]"
"76","11443","[""educational_material""]"
"76","11453","[""course_content""]"
"76","16119","[""course_content""]"
"77","10872","[""course_content""]"
"77","10889","[""learning_outcomes"", ""objectives"", ""prerequisites""]"
"77","10920","[""course_content"", ""description"", ""learning_outcomes"", ""lesson_name"", ""objectives""]"
"77","11087","[""course_content""]"
"77","11425","[""course_content""]"
"77","12230","[""course_content""]"
"77","12740","[""course_content""]"
"77","16174","[""course_content""]"
"78","10872","[""course_content""]"
"78","10891","[""course_content""]"
"78","10904","[""description""]"
"78","10920","[""description""]"
"78","10936","[""course_content""]"
"78","11087","[""course_content""]"
"78","11488","[""course_content""]"
"78","13630","[""course_content""]"
"79","10949","[""description"", ""objectives""]"
"79","10999","[""prerequisites""]"
"79","11046","[""description""]"
"79","11053","[""prerequisites""]"
"79","11269","[""prerequisites""]"
"80","11427","[""course_content""]"
"80","11791","[""course_content"", ""description"", ""educational_material"", ""extras"", ""lesson_name"", ""objectives""]"
"81","11123","[""prerequisites""]"
"81","11347","[""description""]"
"81","11791","[""prerequisites""]"
"81","16008","[""description""]"
"82","10891","[""course_content""]"
"82","11087","[""course_content""]"
"82","11123","[""course_content""]"
"82","16035","[""course_content""]"
"82","16078","[""description""]"
"83","10967","[""course_content""]"
"83","10971","[""course_content""]"
"83","10986","[""course_content""]"
"83","10989","[""course_content""]"
"83","11026","[""course_content""]"
"83","11087","[""course_content""]"
"83","11738","[""course_content""]"
"83","11892","[""course_content""]"
"83","11947","[""course_content""]"
"83","12138","[""objectives""]"
"83","12585","[""objectives""]"
"83","12710","[""course_content""]"
"83","12918","[""course_content""]"
"83","13832","[""objectives""]"
"83","16070","[""objectives""]"
"83","16081","[""objectives""]"
"83","16086","[""course_content"", ""objectives""]"
"83","16094","[""course_content"", ""objectives""]"
"83","16115","[""course_content""]"
"83","16129","[""course_content""]"
"83","16140","[""course_content""]"
"83","16154","[""course_content""]"
"83","16161","[""course_content""]"
"83","16190","[""course_content""]"
"83","16198","[""course_content""]"
"84","10999","[""description"", ""lesson_name""]"
"84","11447","[""prerequisites""]"
"84","12982","[""description""]"
"85","10904","[""educational_material""]"
"85","10927","[""description""]"
"85","11071","[""objectives""]"
"85","11077","[""description""]"
"85","11095","[""prerequisites""]"
"86","10872","[""description""]"
"86","10904","[""description""]"
"86","11071","[""description""]"
"86","12152","[""description""]"
"86","16035","[""description""]"
"87","11211","[""description""]"
"87","11447","[""educational_material"", ""lesson_name""]"
"87","12463","[""description""]"
"88","10868","[""objectives""]"
"88","10891","[""course_content"", ""objectives""]"
"88","10941","[""course_content""]"
"88","10951","[""course_content""]"
"88","11072","[""course_content""]"
"88","11087","[""course_content""]"
"88","11123","[""course_content"", ""extras"", ""lesson_name"", ""objectives""]"
"88","11163","[""prerequisites""]"
"88","11911","[""course_content""]"
"88","13728","[""course_content""]"
"88","14110","[""course_content""]"
"88","14781","[""course_content""]"
"89","10959","[""course_content"", ""description"", ""educational_material"", ""objectives""]"
"90","10921","[""educational_material"", ""lesson_name"", ""prerequisites""]"
"90","11115","[""objectives""]"
"90","12920","[""objectives""]"
"91","11163","[""prerequisites""]"
"91","11435","[""description""]"
"91","16008","[""description""]"
"92","10889","[""prerequisites""]"
"92","10939","[""prerequisites""]"
"92","10997","[""prerequisites""]"
"92","11166","[""objectives""]"
"92","11425","[""assessment""]"
"93","11013","[""prerequisites""]"
"93","11189","[""prerequisites""]"
"93","11588","[""description"", ""educational_material""]"
"93","11594","[""description"", ""objectives""]"
"93","11645","[""prerequisites""]"
"94","11326","[""course_content""]"
"95","10904","[""lesson_name""]"
"95","10970","[""prerequisites""]"
"95","11102","[""objectives""]"
"95","11911","[""assessment""]"
"96","10891","[""course_content""]"
"96","10921","[""course_content""]"
"96","10962","[""objectives""]"
"96","10966","[""educational_material""]"
"97","10868","[""description"", ""educational_material""]"
"97","10904","[""description""]"
"97","11077","[""prerequisites""]"
"97","11699","[""prerequisites""]"
"98","10868","[""course_content""]"
"98","10872","[""prerequisites""]"
"98","10891","[""course_content""]"
"98","10904","[""course_content""]"
"98","10920","[""course_content""]"
"98","11087","[""course_content"", ""educational_material""]"
"98","11144","[""course_content""]"
"98","11318","[""course_content""]"
"98","11350","[""course_content""]"
"98","11514","[""course_content""]"
"98","11588","[""course_content""]"
"98","11609","[""course_content""]"
"98","11619","[""course_content""]"
"98","11885","[""course_content""]"
"98","11941","[""course_content""]"
"98","12698","[""course_content""]"
"98","12756","[""course_content""]"
"98","13241","[""course_content""]"
"98","14228","[""course_content""]"
"98","15021","[""course_content""]"
"98","15376","[""course_content""]"
"98","16127","[""course_content""]"
"98","19080","[""course_content""]"
"98","19134","[""course_content""]"
"99","10868","[""description"", ""educational_material"", ""objectives""]"
"99","11381","[""objectives""]"
"99","11412","[""educational_material""]"
"99","13104","[""description""]"
"100","10921","[""description"", ""educational_material"", ""lesson_name""]"
"100","11453","[""description""]"
"100","12872","[""learning_outcomes""]"
"100","15729","[""course_content""]"
"100","16255","[""course_content""]"
"101","11059","[""course_content""]"
"101","11061","[""educational_material""]"
"101","11136","[""lesson_name""]"
"102","11095","[""prerequisites""]"
"102","11128","[""objectives""]"
"102","11349","[""lesson_name""]"
"102","13106","[""objectives""]"
"102","15380","[""learning_outcomes"", ""objectives""]"
"103","10956","[""educational_material""]"
"103","10967","[""course_content""]"
"103","11006","[""description""]"
"103","11458","[""prerequisites""]"
"104","10868","[""course_content""]"
"104","10872","[""course_content""]"
"104","10885","[""course_content""]"
"104","10892","[""course_content""]"
"104","10920","[""course_content""]"
"104","10926","[""course_content""]"
"104","10928","[""course_content""]"
"104","10953","[""course_content""]"
"104","10965","[""course_content""]"
"104","10967","[""course_content""]"
"104","10970","[""prerequisites""]"
"104","10975","[""course_content""]"
"104","10990","[""course_content""]"
"104","10996","[""prerequisites""]"
"104","10997","[""description"", ""educational_material"", ""learning_outcomes""]"
"104","11006","[""course_content"", ""lesson_name""]"
"104","11019","[""course_content""]"
"104","11061","[""course_content""]"
"104","11085","[""course_content""]"
"104","11087","[""course_content""]"
"104","11099","[""course_content""]"
"104","11108","[""course_content""]"
"104","11128","[""course_content""]"
"104","11302","[""course_content""]"
"104","11458","[""course_content""]"
"104","11515","[""course_content""]"
"104","11553","[""course_content""]"
"104","11583","[""course_content""]"
"104","11588","[""course_content""]"
"104","11885","[""course_content""]"
"104","11941","[""course_content""]"
"104","12161","[""course_content""]"
"104","12318","[""course_content""]"
"104","12698","[""course_content""]"
"104","12756","[""course_content""]"
"104","13844","[""course_content""]"
"104","13924","[""course_content""]"
"104","16127","[""course_content""]"
"104","19306","[""course_content""]"
"104","19328","[""course_content""]"
"105","10872","[""description"", ""objectives""]"
"106","10868","[""course_content""]"
"106","10872","[""course_content""]"
"106","10889","[""course_content""]"
"106","10904","[""course_content""]"
"106","10967","[""course_content""]"
"106","10997","[""course_content""]"
"106","11006","[""course_content""]"
"106","11087","[""course_content""]"
"106","11197","[""course_content""]"
"106","11350","[""course_content""]"
"106","11367","[""course_content""]"
"106","11427","[""course_content""]"
"106","11588","[""course_content""]"
"106","11699","[""course_content""]"
"106","11885","[""course_content""]"
"106","11941","[""course_content""]"
"106","12098","[""course_content""]"
"106","12195","[""course_content"", ""objectives""]"
