"id3","Label3","id4","Label4","Group","Codes"
"http://data.europa.eu/esco/isco/C111","Legislators and senior officials","http://data.europa.eu/esco/isco/C1111","Legislators",1,"C111"
"http://data.europa.eu/esco/isco/C111","Legislators and senior officials","http://data.europa.eu/esco/isco/C1112","Senior government officials",1,"C111"
"http://data.europa.eu/esco/isco/C111","Legislators and senior officials","http://data.europa.eu/esco/isco/C1113","Traditional chiefs and heads of village",1,"C111"
"http://data.europa.eu/esco/isco/C111","Legislators and senior officials","http://data.europa.eu/esco/isco/C1114","Senior officials of special-interest organisations",1,"C111"
"http://data.europa.eu/esco/isco/C213","Life science professionals","http://data.europa.eu/esco/isco/C2131","Biologists, botanists, zoologists and related professionals",2,"C213"
"http://data.europa.eu/esco/isco/C213","Life science professionals","http://data.europa.eu/esco/isco/C2132","Farming, forestry and fisheries advisers",2,"C213"
"http://data.europa.eu/esco/isco/C213","Life science professionals","http://data.europa.eu/esco/isco/C2133","Environmental protection professionals",2,"C213"
"http://data.europa.eu/esco/isco/C121","Business services and administration managers","http://data.europa.eu/esco/isco/C1211","Finance managers",3,"C121"
"http://data.europa.eu/esco/isco/C121","Business services and administration managers","http://data.europa.eu/esco/isco/C1212","Human resource managers",3,"C121"
"http://data.europa.eu/esco/isco/C121","Business services and administration managers","http://data.europa.eu/esco/isco/C1213","Policy and planning managers",3,"C121"
"http://data.europa.eu/esco/isco/C121","Business services and administration managers","http://data.europa.eu/esco/isco/C1219","Business services and administration managers not elsewhere classified",3,"C121"
"http://data.europa.eu/esco/isco/C215","Electrotechnology engineers","http://data.europa.eu/esco/isco/C2151","Electrical engineers",4,"C215"
"http://data.europa.eu/esco/isco/C215","Electrotechnology engineers","http://data.europa.eu/esco/isco/C2152","Electronics engineers",4,"C215"
"http://data.europa.eu/esco/isco/C215","Electrotechnology engineers","http://data.europa.eu/esco/isco/C2153","Telecommunications engineers",4,"C215"
"http://data.europa.eu/esco/isco/C122","Sales, marketing and development managers","http://data.europa.eu/esco/isco/C1221","Sales and marketing managers",5,"C122"
"http://data.europa.eu/esco/isco/C122","Sales, marketing and development managers","http://data.europa.eu/esco/isco/C1222","Advertising and public relations managers",5,"C122"
"http://data.europa.eu/esco/isco/C122","Sales, marketing and development managers","http://data.europa.eu/esco/isco/C1223","Research and development managers",5,"C122"
"http://data.europa.eu/esco/isco/C131","Production managers in agriculture, forestry and fisheries","http://data.europa.eu/esco/isco/C1311","Agricultural and forestry production managers",6,"C131"
"http://data.europa.eu/esco/isco/C131","Production managers in agriculture, forestry and fisheries","http://data.europa.eu/esco/isco/C1312","Aquaculture and fisheries production managers",6,"C131"
"http://data.europa.eu/esco/isco/C241","Finance professionals","http://data.europa.eu/esco/isco/C2411","Accountants",7,"C241"
"http://data.europa.eu/esco/isco/C241","Finance professionals","http://data.europa.eu/esco/isco/C2412","Financial and investment advisers",7,"C241"
"http://data.europa.eu/esco/isco/C241","Finance professionals","http://data.europa.eu/esco/isco/C2413","Financial analysts",7,"C241"
"http://data.europa.eu/esco/isco/C132","Manufacturing, mining, construction, and distribution managers","http://data.europa.eu/esco/isco/C1321","Manufacturing managers",8,"C132"
"http://data.europa.eu/esco/isco/C132","Manufacturing, mining, construction, and distribution managers","http://data.europa.eu/esco/isco/C1322","Mining managers",8,"C132"
"http://data.europa.eu/esco/isco/C132","Manufacturing, mining, construction, and distribution managers","http://data.europa.eu/esco/isco/C1323","Construction managers",8,"C132"
"http://data.europa.eu/esco/isco/C132","Manufacturing, mining, construction, and distribution managers","http://data.europa.eu/esco/isco/C1324","Supply, distribution and related managers",8,"C132"
